"Chinese","Pinyin","English","Part of Speech","HSK Level"
"爱","ài","to love; to like","v.","HSK 1"
"八","bā","eight","num.","HSK 1"
"爸爸","bàba","father; dad","n.","HSK 1"
"吧","ba","suggestion particle","part.","HSK 1"
"白天","báitiān","daytime","n.","HSK 1"
"百","bǎi","hundred","num.","HSK 1"
"半","bàn","half","num.","HSK 1"
"包子","bāozi","bao; steamed bun","n.","HSK 1"
"杯子","bēizi","cup; glass","n.","HSK 1"
"本","běn","m.w. for books","m.w.","HSK 1"
"边","biān","side; edge","n.","HSK 1"
"病","bìng","illness; to fall ill","n./v.","HSK 1"
"不","bù","no; not","adv.","HSK 1"
"不客气","búkèqi","you're welcome","interj.","HSK 1"
"不要","búyào","don't; must not","adv.","HSK 1"
"菜","cài","dish; vegetable","n.","HSK 1"
"茶","chá","tea","n.","HSK 1"
"唱","chàng","to sing","v.","HSK 1"
"超市","chāoshì","supermarket","n.","HSK 1"
"车","chē","car; vehicle","n.","HSK 1"
"吃","chī","to eat","v.","HSK 1"
"出租车","chūzūchē","taxi","n.","HSK 1"
"穿","chuān","to wear; to put on","v.","HSK 1"
"打电话","dǎdiànhuà","to make a phone call","v.","HSK 1"
"大","dà","big; large","adj.","HSK 1"
"大家","dàjiā","everyone","pron.","HSK 1"
"大学","dàxué","university","n.","HSK 1"
"大学生","dàxuéshēng","university student","n.","HSK 1"
"到","dào","to arrive; to reach","v.","HSK 1"
"的","de","linking particle","part.","HSK 1"
"第","dì","ordinal prefix","pref.","HSK 1"
"弟弟","dìdi","younger brother","n.","HSK 1"
"点","diǎn","o'clock; point","m.w.","HSK 1"
"店","diàn","shop; store","n.","HSK 1"
"电话","diànhuà","telephone","n.","HSK 1"
"电脑","diànnǎo","computer","n.","HSK 1"
"电视","diànshì","television","n.","HSK 1"
"电影","diànyǐng","movie; film","n.","HSK 1"
"电影院","diànyǐngyuàn","cinema","n.","HSK 1"
"东西","dōngxi","thing; stuff","n.","HSK 1"
"都","dōu","all; both","adv.","HSK 1"
"读","dú","to read","v.","HSK 1"
"读书","dúshū","to read; to study","v.","HSK 1"
"对","duì","correct; toward","adj./prep.","HSK 1"
"对不起","duìbuqǐ","I'm sorry","v.","HSK 1"
"多","duō","many; much","adj.","HSK 1"
"多少","duōshao","how many; how much","pron.","HSK 1"
"儿子","érzi","son","n.","HSK 1"
"二","èr","two","num.","HSK 1"
"饭","fàn","meal; cooked rice","n.","HSK 1"
"饭店","fàndiàn","restaurant; hotel","n.","HSK 1"
"房间","fángjiān","room","n.","HSK 1"
"非常","fēicháng","very; really","adv.","HSK 1"
"飞机","fēijī","airplane","n.","HSK 1"
"分","fēn","minute; point","m.w.","HSK 1"
"分钟","fēnzhōng","minute","m.w.","HSK 1"
"高兴","gāoxìng","happy; glad","adj.","HSK 1"
"歌","gē","song","n.","HSK 1"
"哥哥","gēge","older brother","n.","HSK 1"
"个","gè","general m.w.","m.w.","HSK 1"
"给","gěi","to give","v.","HSK 1"
"公司","gōngsī","company","n.","HSK 1"
"工作","gōngzuò","to work; job","v./n.","HSK 1"
"狗","gǒu","dog","n.","HSK 1"
"贵","guì","expensive","adj.","HSK 1"
"国","guó","country","n.","HSK 1"
"还","hái","still; also","adv.","HSK 1"
"孩子","háizi","child","n.","HSK 1"
"汉语","Hànyǔ","Chinese language","n.","HSK 1"
"汉字","Hànzì","Chinese character","n.","HSK 1"
"好","hǎo","good","adj.","HSK 1"
"好吃","hǎochī","tasty; delicious","adj.","HSK 1"
"好看","hǎokàn","good-looking","adj.","HSK 1"
"好听","hǎotīng","pleasant to hear","adj.","HSK 1"
"好玩儿","hǎowánr","fun; interesting","adj.","HSK 1"
"号","hào","number; day of month","n.","HSK 1"
"喝","hē","to drink","v.","HSK 1"
"和","hé","and; with","conj./prep.","HSK 1"
"很","hěn","very; quite","adv.","HSK 1"
"后","hòu","after; behind","n.","HSK 1"
"回","huí","to return","v.","HSK 1"
"会","huì","can; to know how to","v.","HSK 1"
"火车","huǒchē","train","n.","HSK 1"
"鸡蛋","jīdàn","egg","n.","HSK 1"
"几","jǐ","how many; several","pron.","HSK 1"
"家","jiā","family; home","n.","HSK 1"
"家人","jiārén","family member","n.","HSK 1"
"见","jiàn","to see; to meet","v.","HSK 1"
"件","jiàn","m.w. for items","m.w.","HSK 1"
"饺子","jiǎozi","dumpling","n.","HSK 1"
"叫","jiào","to call; to be called","v.","HSK 1"
"姐姐","jiějie","older sister","n.","HSK 1"
"今年","jīnnián","this year","n.","HSK 1"
"今天","jīntiān","today","n.","HSK 1"
"九","jiǔ","nine","num.","HSK 1"
"觉得","juéde","to think; to feel","v.","HSK 1"
"开","kāi","to open; to start","v.","HSK 1"
"开车","kāichē","to drive a car","v.","HSK 1"
"看","kàn","to see; to look at","v.","HSK 1"
"看病","kànbìng","to see a doctor","v.","HSK 1"
"看见","kànjiàn","to see; to catch sight of","v.","HSK 1"
"可以","kěyǐ","can; may","v.","HSK 1"
"课","kè","class; lesson","n.","HSK 1"
"口","kǒu","mouth; m.w. for people","n./m.w.","HSK 1"
"块","kuài","yuan; piece","m.w.","HSK 1"
"来","lái","to come","v.","HSK 1"
"老师","lǎoshī","teacher","n.","HSK 1"
"了","le","completion particle","part.","HSK 1"
"冷","lěng","cold","adj.","HSK 1"
"里","lǐ","inside; interior","n.","HSK 1"
"两","liǎng","two","num.","HSK 1"
"零","líng","zero","num.","HSK 1"
"六","liù","six","num.","HSK 1"
"妈妈","māma","mother; mom","n.","HSK 1"
"吗","ma","question particle","part.","HSK 1"
"买","mǎi","to buy","v.","HSK 1"
"卖","mài","to sell","v.","HSK 1"
"忙","máng","busy","adj.","HSK 1"
"猫","māo","cat","n.","HSK 1"
"没关系","méiguānxi","it's okay; never mind","interj.","HSK 1"
"没事","méishì","it's okay","v.","HSK 1"
"没有","méiyǒu","don't have; doesn't exist","v./adv.","HSK 1"
"妹妹","mèimei","younger sister","n.","HSK 1"
"们","men","plural suffix","suff.","HSK 1"
"米饭","mǐfàn","rice","n.","HSK 1"
"面包","miànbāo","bread","n.","HSK 1"
"面条儿","miàntiáor","noodles","n.","HSK 1"
"明年","míngnián","next year","n.","HSK 1"
"明天","míngtiān","tomorrow","n.","HSK 1"
"名字","míngzi","name","n.","HSK 1"
"哪","nǎ","which","pron.","HSK 1"
"哪个","nǎge","which one","pron.","HSK 1"
"哪里","nǎlǐ","where","pron.","HSK 1"
"哪儿","nǎr","where","pron.","HSK 1"
"哪些","nǎxiē","which ones","pron.","HSK 1"
"那","nà","that","pron.","HSK 1"
"那边","nàbiān","there; that side","pron.","HSK 1"
"那个","nàge","that one","pron.","HSK 1"
"那里","nàlǐ","there","pron.","HSK 1"
"那儿","nàr","there","pron.","HSK 1"
"那些","nàxiē","those","pron.","HSK 1"
"男","nán","male","adj.","HSK 1"
"男朋友","nánpéngyou","boyfriend","n.","HSK 1"
"呢","ne","topic particle","part.","HSK 1"
"能","néng","can; to be able to","v.","HSK 1"
"你","nǐ","you","pron.","HSK 1"
"你好","nǐhǎo","hello","interj.","HSK 1"
"你们","nǐmen","you (plural)","pron.","HSK 1"
"年","nián","year","n.","HSK 1"
"您","nín","you (formal)","pron.","HSK 1"
"牛奶","niúnǎi","milk","n.","HSK 1"
"女","nǚ","female","adj.","HSK 1"
"女儿","nǚ'ér","daughter","n.","HSK 1"
"女朋友","nǚpéngyou","girlfriend","n.","HSK 1"
"女士","nǚshì","lady; madam","n.","HSK 1"
"朋友","péngyou","friend","n.","HSK 1"
"便宜","piányi","cheap; inexpensive","adj.","HSK 1"
"漂亮","piàoliang","pretty; beautiful","adj.","HSK 1"
"苹果","píngguǒ","apple","n.","HSK 1"
"七","qī","seven","num.","HSK 1"
"起床","qǐchuáng","to get up","v.","HSK 1"
"千","qiān","thousand","num.","HSK 1"
"前","qián","front; ahead","n.","HSK 1"
"钱","qián","money","n.","HSK 1"
"请","qǐng","please; to invite","v.","HSK 1"
"请问","qǐngwèn","may I ask…?","v.","HSK 1"
"去","qù","to go","v.","HSK 1"
"去年","qùnián","last year","n.","HSK 1"
"热","rè","hot","adj.","HSK 1"
"人","rén","person; people","n.","HSK 1"
"认识","rènshi","to know; to recognize","v.","HSK 1"
"日","rì","day; sun","n.","HSK 1"
"三","sān","three","num.","HSK 1"
"商店","shāngdiàn","store; shop","n.","HSK 1"
"上","shàng","up; above","n./v.","HSK 1"
"上班","shàngbān","to go to work","v.","HSK 1"
"上课","shàngkè","to go to class","v.","HSK 1"
"上午","shàngwǔ","morning","n.","HSK 1"
"上学","shàngxué","to go to school","v.","HSK 1"
"少","shǎo","few; less","adj.","HSK 1"
"谁","shéi","who","pron.","HSK 1"
"什么","shénme","what","pron.","HSK 1"
"生病","shēngbìng","to fall ill","v.","HSK 1"
"十","shí","ten","num.","HSK 1"
"时候","shíhou","time; moment","n.","HSK 1"
"时间","shíjiān","time; period","n.","HSK 1"
"事","shì","matter; thing","n.","HSK 1"
"是","shì","to be","v.","HSK 1"
"手机","shǒujī","cell phone","n.","HSK 1"
"书","shū","book","n.","HSK 1"
"书店","shūdiàn","bookstore","n.","HSK 1"
"水","shuǐ","water","n.","HSK 1"
"水果","shuǐguǒ","fruit","n.","HSK 1"
"睡","shuì","to sleep","v.","HSK 1"
"睡觉","shuìjiào","to go to bed","v.","HSK 1"
"说","shuō","to speak; to say","v.","HSK 1"
"说话","shuōhuà","to speak; to talk","v.","HSK 1"
"四","sì","four","num.","HSK 1"
"岁","suì","years old","m.w.","HSK 1"
"他","tā","he; him","pron.","HSK 1"
"它","tā","it","pron.","HSK 1"
"她","tā","she; her","pron.","HSK 1"
"他们","tāmen","they; them","pron.","HSK 1"
"它们","tāmen","they; them (things)","pron.","HSK 1"
"她们","tāmen","they; them (female)","pron.","HSK 1"
"太","tài","too; very","adv.","HSK 1"
"天","tiān","day; sky","n.","HSK 1"
"天气","tiānqì","weather","n.","HSK 1"
"听","tīng","to listen; to hear","v.","HSK 1"
"听见","tīngjiàn","to hear","v.","HSK 1"
"同学","tóngxué","classmate","n.","HSK 1"
"外","wài","outside; foreign","n.","HSK 1"
"外边","wàibian","outside","n.","HSK 1"
"玩","wán","to play; to have fun","v.","HSK 1"
"晚","wǎn","evening; late","adj.","HSK 1"
"晚饭","wǎnfàn","dinner; supper","n.","HSK 1"
"晚上","wǎnshang","evening; night","n.","HSK 1"
"喂","wèi","hello? (phone)","interj.","HSK 1"
"问","wèn","to ask","v.","HSK 1"
"问题","wèntí","question; problem","n.","HSK 1"
"我","wǒ","I; me","pron.","HSK 1"
"我们","wǒmen","we; us","pron.","HSK 1"
"五","wǔ","five","num.","HSK 1"
"午饭","wǔfàn","lunch","n.","HSK 1"
"喜欢","xǐhuan","to like","v.","HSK 1"
"下","xià","down; below; next","n./v.","HSK 1"
"下雨","xiàyǔ","to rain","v.","HSK 1"
